AGENCY,NAME,ADDRESS,CITY,STATE,ZIPCODE,PHONE,WEBSITE,YOUTH_FACILITIES,BEST_TIMES,ADVANCE_RESERVATION,THIRTY_FIVE,
Army Corps,Chena River Lakes,Montgomery Rd,Fort Wainwright,Alaska,99703,(907) 488-2748,http://www.poa.usace.army.mil/Locations/ChenaProject.aspx,Outdoor Classroom,Summer,N,N,
Army Corps,Degray Lake,729 Channel Rd,Arkadelphia,Arkansas,71923,(501) 324-5674,http://www.mvk.usace.army.mil/Missions/Recreation/DeGrayLake.aspx,Outdoor Classroom,Spring,N,N,
Army Corps,Lake Greeson,155 Dynamite Hill Rd,Murfreesboro,Arkansas,71958,(501) 324-5674,http://www.mvk.usace.army.mil/Missions/Recreation/LakeGreeson.aspx,Outdoor Classroom,Spring,N,N,
Army Corps,Lake Ouachita,1424 Blakely Dam Rd,Royal,Arkansas,71968,(501) 324-5674,http://www.mvk.usace.army.mil/Missions/Recreation/LakeOuachita.aspx,Outdoor Classroom,Spring,N,N,
Army Corps,Greers Ferry Lake, ,Heber Springs,Arkansas,72543,(501) 324-5674,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/GreersFerryLake.aspx,Outdoor Classroom,"Spring, Fall",N,N,
Army Corps,Beaver Lake,2260 N 2nd St,Rogers,Arkansas,72756,(501) 324-5674,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/BeaverLake.aspx,Outdoor Classroom,Fall,N,N,
Army Corps,Lake Sonoma,3333 Skaggs Springs Rd,Geyserville,California,95441,(707) 431-4533,http://www.spn.usace.army.mil/Missions/Recreation/LakeSonoma.aspx,"Visitor Center, Smart Board Classroom With Clickers, Hatchery With Ultra High Definition Theater (4K) and Exhibits, Interpretive Trail",All Year,N,N,
Army Corps,Hop Brook Lake,4 Straits Tpke,Middlebury,Connecticut,06762,(203) 729-8840,http://www.nae.usace.army.mil/Missions/Recreation/HopBrookLake.aspx,Outdoor Classroom,All Year,N,N,
Army Corps,Lake Okeechobee WW,2170 SW Canal St,Stuart,Florida,34997,(772) 219-4575,http://www.saj.usace.army.mil/Missions/CivilWorks/Recreation.aspx,Visitor Center/Outdoors,All Year,N,N,
Army Corps,Allatoona Lake,1138 GA 20-SPUR,Cartersville,Georgia,30121,(678) 721-6700,http://www.sam.usace.army.mil/Missions/CivilWorks/Recreation/AllatoonaLake.aspx,Visitor Center/Outdoors,All Year,N,N,
Army Corps,Pacific Regional Visitor Center - Barbers Point,2131 Kalia Rd,Honolulu,Hawaii,96830,(808) 438-2815,http://www.poh.usace.army.mil/Locations/PacificRegionalVisitorCenter.aspx,Visitor Center,All Year,N,N,
Army Corps,Albeni Falls Dam,2376 E Highway 2,Oldtown,Idaho,83822,(208) 437-7224,http://www.nws.usace.army.mil/Missions/CivilWorks/LocksandDams/AlbeniFallsDam/ProjectRecreation.aspx,"Visitor Center, Outdoor Assembly Areas, HMU's",All Year,N,N,
Army Corps,"Mississippi River between MO River and Minneapolis, MVS Portion",301 Riverlands Way,West Alton,Missouri,63386,(636) 899-0050,http://www.mvs.usace.army.mil/Missions/Recreation/RiversProjectOffice.aspx,National Great Rivers Museum,All Year,N,N,
Army Corps,Lake Shelbyville,IL 16,Shelbyville,Illinois,62565,(217) 774-3951,http://www.mvs.usace.army.mil/Missions/Recreation/LakeShelbyville.aspx,Visitor Center/Outdoor Classroom,Spring,N,N,
Army Corps,Carlyle Lake,801 Lake Rd,Carlyle,Illinois,62231,(618) 594-2484,http://www.mvs.usace.army.mil/Missions/Recreation/CarlyleLake.aspx,Visitor Center/Outdoor Classroom,Spring,N,N,
Army Corps,Rend Lake,11981 Rend City Rd,Benton,Illinois,62812,(618) 724-2493,http://www.mvs.usace.army.mil/Missions/Recreation/RendLake.aspx,Visitor Center/Outdoor Classroom,Spring,N,N,
Army Corps,Cagles Mill Lake, ,Poland,Indiana,47868,(765) 795-4439,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/CaglesMillLake.aspx,Outdoor Classroom,Summer,N,N,
Army Corps,Saylorville Lake,5600 NW 78th Ave,Johnston,Iowa,50131,(515) 276-4656,http://www.mvr.usace.army.mil/Missions/Recreation/SaylorvilleLake.aspx,Visitor Center,Spring,N,N,
Army Corps,Lake Red Rock,1105 Highway T15,Knoxville,Iowa,50138,(641) 828-7522,http://www.mvr.usace.army.mil/Missions/Recreation/LakeRedRock.aspx,Outdoor Classroom,Spring,N,N,
Army Corps,Coralville Lake,2850 Prairie du Chien Rd NE,Iowa City,Iowa,52240,(319) 338-3543,http://www.mvr.usace.army.mil/Missions/Recreation/CoralvilleLake.aspx,Outdoor Classroom,Summer,N,N,
Army Corps,Clinton Lake,872 N 1402 Rd,Lawrence,Kansas,66049,(816) 389-2416,http://www.nwk.usace.army.mil/Locations/DistrictLakes/ClintonLake.aspx,Outdoor Classroom,"Spring, Summer",N,N,
Army Corps,El Dorado Lake,945 Lake Rd,Council Grove,Kansas,66861,(918) 669-4903,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Kansas/ElDoradoLake.aspx,Outdoor Classroom,Summer,N,N,
Army Corps,Green River Lake,544 Lake Rd,Campbellsville,Kentucky,42718,(270) 465-4463,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/GreenRiverLake.aspx,"Outdoor Classroom, Visitor Center",Summer,N,N,
Army Corps,J Bennett Johnston Waterway,700 Clyde Fant Pky,Shreveport,Louisiana,71101,(318) 422-3351,http://www.mvk.usace.army.mil/Missions/Recreation/JBennettJohnstonVisitorCenter.aspx,"Outdoor Education, Visitor Center",September,N,N,
Army Corps,Bonnet Carre Spillway,River Rd,Norco,Louisiana,70079,(504) 491-8368,http://www.mvn.usace.army.mil/Missions/Recreation/BonnetCarreSpillway.aspx,Outdoor Education Center,Spring,N,N,
Army Corps,Atchafalaya Basin Floodway System - Sherburne Refuge Headquarters,112 Speck Ln,Port Barre,Louisiana,70577,(337) 351-9020,http://www.mvn.usace.army.mil/Missions/Recreation/AtchafalayaBasin.aspx,Outdoor Education Center,Spring,N,N,
Army Corps,Cape Cod Canal,Ed Moffitt Dr,Sandwich,Massachusetts,02563,(508) 833-9678,http://www.nae.usace.army.mil/Missions/Recreation/CapeCodCanal.aspx,"Outdoor Classroom, Visitor Center",All Year,N,N,
