ALABAMA,,,,,,,
Bankhead Ranger District,205-489-5111,Double Springs,AL,http://www.fs.fed.us/r8/alabama/,YES,YES,YES
Bon Secour NWR,251-540-7720,Gulf Shores,AL,http://www.fws.gov/bonsecour/,YES,YES,YES
Conecuh NF,334-222-2555,Andalusia,AL,http://www.fs.fed.us/r8/alabama/,YES,YES,YES
Eufaula NWR,334-687-4065,Eufala,AL,http://www.fws.gov/eufaula,YES,YES,NO
Horseshoe Bend National Military Park,256-234-7111,Daviston,AL,http://www.nps.gov/hobe/,NO,NO,YES
Talladega NF - Oakmulgee Ranger District,205-926-9765,Brent,AL,http://www.fs.fed.us/r8/alabama/,YES,YES,YES
Talladega NF - Shoal Creek Ranger District,256-463-2272,Heflin,AL,http://www.fs.fed.us/r8/alabama/,YES,YES,YES
Talladega NF - Talladega Ranger District,256-362-2909,Talladega,AL,http://www.fs.fed.us/r8/alabama/,YES,YES,YES
Tuskegee NF,334-727-2652,Tuskegee,AL,http://www.fs.fed.us/r8/alabama/,YES,YES,YES
Wheeler NWR,256-350-6639,Decatur,AL,http://www.fws.gov/wheeler/,YES,YES,YES
ALASKA,,,,,,,
Alaska BLM Office,907-271-5960,Anchorage,AK,http://www.blm.gov/ak/st/en/fo/ado.html,NO,YES,YES
Alaska Public Lands Visitor Center - Anchorage,907-644-3661,Anchorage,AK,http://www.nps.gov/anch/,YES,YES,YES
Alaska Public Lands Visitor Center - Fairbanks,907-459-3730,Fairbanks,AK,http://www.nps.gov/aplic,YES,YES,YES
Chugach National Forest,907-743-9500,Anchorage,AK,http://www.fs.fed.us/r10/chugach/,YES,YES,YES
Denali National Park & Preserve,907-683-2294,Denali Park,AK,http://www.nps.gov/dena/,YES,YES,YES
Glennallen Field Office,907-822-3217,Glennallen,AK,http://www.blm.gov/ak/st/en/fo/gdo.html,NO,YES,NO
Kenai NWR,907-262-7021,Soldotna,AK, http://www.fws.gov/refuges/profiles/index.cfm?id=74525,NO,YES,YES
Talkeetna Ranger Station,907-733-2231,Talkeetna,AK,http://www.nps.gov/dena/planyourvisit/talkeetnaranger.htm,YES,YES,YES
Tongass NF - Mendenhall Glacier Visitor's Center,907-789-6640 ,Juneau,AK,http://www.fs.fed.us/r10/tongass/contacts/contacts.shtml,YES,YES,YES
Tongass NF - Southeast Alaska Discovery Center,907-228-6220 ,Ketchikan,AK,http://www.fs.fed.us/r10/tongass/contacts/contacts.shtml,YES,YES,YES
ARIZONA,,,,,,,
Apache-Sitgreaves NF - Alpine District,928-339-5000,Alpine,AZ,http://www.fs.fed.us/r3/asnf/contact/,YES,YES,YES
Apache-Sitgreaves NF - Black Mesa District,928-535-7300,Overgaard,AZ,http://www.fs.fed.us/r3/asnf/contact/,YES,YES,YES
Apache-Sitgreaves NF - Lakeside District,928-368-2100,Lakeside,AZ,http://www.fs.fed.us/r3/asnf/contact/,YES,YES,YES
