FEDERAL RECREATION AREA/SITE,PHONE,CITY,STATE,WEBSITE,ANNUAL SENIOR,ACCESS MILITARY 4th GRADE
Alaska BLM Office,907-271-5960,Anchorage,AK,http://www.blm.gov/ak/st/en/fo/ado.html,NO,YES
Alaska Public Lands Visitor Center - Anchorage,907-644-3661,Anchorage,AK,http://www.nps.gov/anch/,YES,YES
Alaska Public Lands Visitor Center - Fairbanks,907-459-3730,Fairbanks,AK,http://www.nps.gov/aplic,YES,YES
Chugach National Forest,907-743-9500,Anchorage,AK,http://www.fs.fed.us/r10/chugach/,YES,YES
Denali National Park & Preserve,907-683-2294,Denali Park,AK,http://www.nps.gov/dena/,YES,YES
Glennallen Field Office,907-822-3217,Glennallen,AK,http://www.blm.gov/ak/st/en/fo/gdo.html,NO,NO
Kenai NWR,907-262-7021,Soldotna,AK, http://www.fws.gov/refuges/profiles/index.cfm?id=74525,NO,YES
Talkeetna Ranger Station,907-733-2231,Talkeetna,AK,http://www.nps.gov/dena/planyourvisit/talkeetnaranger.htm,YES,YES
Tongass NF - Mendenhall Glacier Visitor's Center,907-789-6640 ,Juneau,AK,http://www.fs.fed.us/r10/tongass/contacts/contacts.shtml,YES,YES
Tongass NF - Southeast Alaska Discovery Center,907-228-6220 ,Ketchikan,AK,http://www.fs.fed.us/r10/tongass/contacts/contacts.shtml,YES,YES
Alabama River Lakes (Miller's Ferry),334-682-4244,Camden,AL,http://www.sam.usace.army.mil/Missions/CivilWorks/Recreation/AlabamaRiverLakes.aspx,YES,YES
Alabama River Lakes (Site Office),334-872-9554,Hayneville,AL,http://www.sam.usace.army.mil/Missions/CivilWorks/Recreation/AlabamaRiverLakes.aspx,YES,YES
Bankhead Ranger District,205-489-5111,Double Springs,AL,http://www.fs.fed.us/r8/alabama/,YES,YES
Bon Secour NWR,251-540-7720,Gulf Shores,AL,http://www.fws.gov/bonsecour/,YES,YES
